"speaker.gender","speaker","speaker.age","phonogenre","F0semitoneFrom27.5Hz_sma3nz_amean","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","loudness_sma3_amean","loudness_sma3_stddevNorm","loudness_sma3_percentile20.0","loudness_sma3_percentile50.0","loudness_sma3_percentile80.0","loudness_sma3_pctlrange0.2","loudness_sma3_meanRisingSlope","loudness_sma3_stddevRisingSlope","loudness_sma3_meanFallingSlope","loudness_sma3_stddevFallingSlope","spectralFlux_sma3_amean","spectralFlux_sma3_stddevNorm","mfcc1_sma3_amean","mfcc1_sma3_stddevNorm","mfcc2_sma3_amean","mfcc2_sma3_stddevNorm","mfcc3_sma3_amean","mfcc3_sma3_stddevNorm","mfcc4_sma3_amean","mfcc4_sma3_stddevNorm","jitterLocal_sma3nz_amean","jitterLocal_sma3nz_stddevNorm","shimmerLocaldB_sma3nz_amean","shimmerLocaldB_sma3nz_stddevNorm","HNRdBACF_sma3nz_amean","HNRdBACF_sma3nz_stddevNorm","logRelF0.H1.H2_sma3nz_amean","logRelF0.H1.H2_sma3nz_stddevNorm","logRelF0.H1.A3_sma3nz_amean","logRelF0.H1.A3_sma3nz_stddevNorm","F1frequency_sma3nz_amean","F1frequency_sma3nz_stddevNorm","F1bandwidth_sma3nz_amean","F1bandwidth_sma3nz_stddevNorm","F1amplitudeLogRelF0_sma3nz_amean","F1amplitudeLogRelF0_sma3nz_stddevNorm","F2frequency_sma3nz_amean","F2frequency_sma3nz_stddevNorm","F2bandwidth_sma3nz_amean","F2bandwidth_sma3nz_stddevNorm","F2amplitudeLogRelF0_sma3nz_amean","F2amplitudeLogRelF0_sma3nz_stddevNorm","F3frequency_sma3nz_amean","F3frequency_sma3nz_stddevNorm","F3bandwidth_sma3nz_amean","F3bandwidth_sma3nz_stddevNorm","F3amplitudeLogRelF0_sma3nz_amean","F3amplitudeLogRelF0_sma3nz_stddevNorm","alphaRatioV_sma3nz_amean","alphaRatioV_sma3nz_stddevNorm","hammarbergIndexV_sma3nz_amean","hammarbergIndexV_sma3nz_stddevNorm","slopeV0.500_sma3nz_amean","slopeV0.500_sma3nz_stddevNorm","slopeV500.1500_sma3nz_amean","slopeV500.1500_sma3nz_stddevNorm","spectralFluxV_sma3nz_amean","spectralFluxV_sma3nz_stddevNorm","mfcc1V_sma3nz_amean","mfcc1V_sma3nz_stddevNorm","mfcc2V_sma3nz_amean","mfcc2V_sma3nz_stddevNorm","mfcc3V_sma3nz_amean","mfcc3V_sma3nz_stddevNorm","mfcc4V_sma3nz_amean","mfcc4V_sma3nz_stddevNorm","alphaRatioUV_sma3nz_amean","hammarbergIndexUV_sma3nz_amean","slopeUV0.500_sma3nz_amean","slopeUV500.1500_sma3nz_amean","spectralFluxUV_sma3nz_amean","loudnessPeaksPerSec","VoicedSegmentsPerSec","MeanVoicedSegmentLengthSec","StddevVoicedSegmentLengthSec","MeanUnvoicedSegmentLength","StddevUnvoicedSegmentLength","equivalentSoundLevel_dBp"
"F",8,62,"prepared",30.07699,0.1148907,27.97782,30.07944,33.10609,5.128279,122.2965,95.51358,50.04651,33.81652,0.6739787,0.8586229,0.1132146,0.5682767,1.152668,1.039453,18.29193,8.029047,11.82769,5.240734,0.4346626,1.045946,24.0191,0.6598011,2.843498,4.442336,4.025574,3.820331,0.222279,56.13363,0.04506875,1.159372,1.893486,0.8406302,4.177204,0.8655474,2.592702,3.494349,22.06606,0.3889476,527.2751,0.4411852,1344.02,0.1854575,-84.9099,-1.071501,1479.438,0.1523427,1179.484,0.3971872,-88.08495,-0.9723887,2491.647,0.1214267,990.9219,0.5438933,-93.09531,-0.8795778,-9.283667,-0.6616489,21.70846,0.4078353,0.06800604,0.4686659,-0.01689497,-0.7478521,0.6387737,0.7435541,30.791,0.371657,-1.572702,-7.3949,2.550993,6.993589,-1.309376,-10.54687,-8.029656,16.06026,0.009010782,-0.01363492,0.1413704,5.284553,3.49076,0.1635294,0.1025522,0.1075,0.07933316,-22.80169
"F",9,36,"prepared",32.06573,0.2451818,21.59945,34.37395,37.64301,16.04356,477.9824,680.7762,258.543,480.506,0.8574358,0.5575767,0.3288891,0.8898022,1.283194,0.9543052,14.54668,7.955555,15.88402,8.382919,0.5768932,0.6981362,21.0537,0.6633621,5.723597,1.940073,9.424334,1.660145,-1.293192,-10.0994,0.07254244,1.846254,1.683107,0.8188206,6.345062,0.7627859,6.94681,1.789161,20.91261,0.5461259,592.9923,0.3955188,1265.976,0.2235659,-88.62857,-1.003477,1594.59,0.1587723,981.7169,0.4214833,-85.58991,-0.9285722,2635.071,0.1010109,879.6138,0.684763,-89.08369,-0.8605861,-13.94759,-0.5213835,24.33554,0.3997912,0.029829,1.298487,-0.01696886,-0.6839601,0.6876616,0.5831431,25.51421,0.4772971,5.747147,1.961011,8.060282,2.120834,-3.188792,-4.6511,-7.551968,16.87912,-0.01649885,-0.006747021,0.3956765,6.432748,3.937008,0.1545,0.093192,0.0795,0.08476289,-21.40303
"M",1,62,"prepared",20.53247,0.2194687,17.14661,18.95049,22.77925,5.632645,118.1536,191.1082,36.37544,24.34138,0.658688,0.7102563,0.2422393,0.5423945,0.9557895,0.7135502,8.153468,4.502804,6.569177,3.626146,0.4127216,0.7162425,30.42548,0.4742835,1.197996,11.18499,27.64693,0.5295128,4.759055,2.790668,0.0483016,1.382171,1.65621,0.7675314,1.902332,1.53186,6.730751,1.298001,19.63704,0.4739341,472.2353,0.3663874,1173.817,0.1909973,-40.6138,-1.801463,1502.036,0.1596052,982.8762,0.4293526,-53.31152,-1.251544,2415.586,0.1300687,899.9024,0.3348573,-53.19841,-1.260123,-16.7543,-0.4052018,22.26884,0.3434834,-0.0022031,-16.95419,-0.03016877,-0.422147,0.465937,0.6289033,34.9948,0.2957153,1.830496,7.367751,27.28992,0.5517367,3.933797,3.519023,-5.788276,12.74866,-0.03897493,-0.01180191,0.1962515,3.846154,1.434426,0.5585714,0.3259022,0.1333333,0.113676,-22.84433
"M",10,34,"prepared",25.99554,0.2398555,23.43389,25.50308,28.65755,5.223663,271.3675,169.3375,159.5679,247.2969,0.8700418,0.5755041,0.3584044,0.8701984,1.305073,0.9466685,16.55087,7.301039,12.60355,5.170432,0.7334634,0.6395269,24.06799,0.6212488,11.86939,0.8949231,29.12057,0.5405099,16.46599,0.6865959,0.09139767,1.777976,1.700102,0.8260907,4.044626,1.224862,7.940824,2.207943,22.53039,0.6047108,462.3842,0.4599811,1114.363,0.2492124,-68.78366,-1.196996,1525.859,0.1599526,709.6221,0.506347,-79.16849,-0.9137591,2495.421,0.1097812,802.3284,0.292108,-77.72004,-0.9388582,-17.28421,-0.4449332,24.26546,0.3505239,0.01343806,2.788051,-0.008087907,-1.249139,0.8123537,0.5799559,26.81,0.4498312,11.55445,0.9660887,32.62067,0.4928653,18.56538,0.5848882,-12.80664,20.88024,-0.008396321,-0.006638055,0.5709724,6.198348,4.175365,0.161,0.1654358,0.06,0.04065257,-18.23215
"M",11,41,"prepared",22.60909,0.2713505,18.51688,21.56649,24.96816,6.451279,245.0611,290.4542,67.62441,88.23209,0.7137444,0.8294448,0.1126895,0.5906267,1.238097,1.125407,15.37422,9.619545,13.32028,6.814945,0.5317488,0.8513743,26.03883,0.6876706,9.228751,1.40923,14.79064,1.141057,0.4453742,34.95621,0.07575329,1.534368,1.70636,0.9111629,1.367094,2.690834,3.865536,3.392093,19.80498,0.5014874,491.5963,0.3808577,1188.212,0.168576,-73.89938,-1.199475,1501.712,0.206043,819.8928,0.3364919,-81.22871,-1.017212,2515.104,0.1184763,752.2031,0.4054843,-83.08221,-0.9686353,-14.1787,-0.5983394,21.55683,0.378776,0.002256646,16.4237,-0.02324146,-0.7671527,0.712942,0.6184271,32.33401,0.3998123,4.712408,2.651247,17.23892,1.132577,-3.697885,-4.520348,-18.62787,29.24203,-0.06725018,-0.008046527,0.1993722,4.83559,2.929688,0.2126667,0.1661512,0.1207692,0.122252,-21.31655
"M",12,48,"prepared",28.11044,0.2955146,23.84086,26.56679,29.37683,5.535971,310.7613,254.4799,98.81911,168.9723,0.7843243,0.6689662,0.1673973,0.7821417,1.299742,1.132344,11.59359,4.665047,9.639695,6.620739,0.5051205,0.7936468,18.13297,1.045805,2.536985,4.699247,14.88308,0.9705865,11.93857,1.192012,0.06132465,1.273657,1.809958,0.7395925,2.854326,1.617204,6.205551,1.163404,21.65159,0.5056178,526.3012,0.43041,1117.499,0.2393917,-99.87473,-0.9242148,1566.835,0.1574204,821.8834,0.3587183,-103.9904,-0.8222616,2525.389,0.09854837,822.9205,0.3082356,-103.7832,-0.8106085,-11.24203,-0.9899463,19.20907,0.5904255,0.03193774,1.052036,-0.009456608,-1.489484,0.7136194,0.5179365,25.2195,0.6828663,5.138834,2.257228,18.61259,0.8815304,12.76312,1.242736,-3.699147,12.86643,-0.01736481,0.006781662,0.2762642,4.970179,3.614458,0.1388889,0.1236882,0.13125,0.1539836,-20.7651
"M",13,38,"prepared",24.93838,0.1392852,21.91581,24.46325,28.60438,6.68857,168.4116,182.902,55.58232,26.00461,0.7281802,0.6989605,0.1766064,0.7204868,1.207417,1.030811,11.84794,5.753993,13.32122,6.828036,0.6263328,0.814402,26.97175,0.6978501,11.1097,0.9499729,15.4489,1.026753,-0.7601974,-17.35979,0.07674879,1.093623,1.783275,0.895125,3.143986,1.131074,6.624839,2.255008,28.93572,0.2997727,494.1478,0.4225446,1235.505,0.197927,-78.35826,-1.136311,1507.084,0.1790345,920.266,0.484829,-88.0534,-0.9054528,2471.326,0.1376353,768.2112,0.3474092,-90.24254,-0.865357,-18.54811,-0.4683361,28.1229,0.3320273,0.04092062,0.7815302,-0.02142487,-0.7900254,0.8733501,0.524753,35.91935,0.3774229,11.37063,0.9009454,19.16784,0.8891385,-0.06582437,-223.0356,-5.664888,12.82456,0.01831076,-0.005614643,0.1972335,5.576923,2.718446,0.2285714,0.1587836,0.1178571,0.1531656,-19.17766
"M",14,41,"prepared",24.89239,0.2131061,22.87217,24.83388,27.49839,4.626221,307.984,373.3655,44.96258,21.74209,0.7266715,0.8092449,0.1894235,0.6128511,1.132259,0.942836,15.94676,8.840532,11.9643,6.235125,0.4515511,0.9485827,22.82405,0.6560109,-2.868986,-4.552894,20.97352,0.7769774,-0.422167,-28.8384,0.04534581,0.7880639,1.964519,0.7615511,2.175444,1.546066,8.490996,1.30056,20.53266,0.4090792,483.2824,0.4416383,1172.247,0.1918105,-97.92635,-0.9307611,1473.293,0.190021,818.6874,0.3862427,-100.107,-0.8730783,2491.698,0.0951334,685.7817,0.3847933,-101.7726,-0.8374255,-10.15511,-0.7234129,18.62194,0.3988374,0.03215024,0.9079893,-0.01142587,-1.051614,0.6560714,0.6906414,30.47612,0.324908,-3.898363,-3.459299,25.88745,0.6599199,-1.888988,-7.427885,-4.430104,13.92467,-0.00452752,-0.000972289,0.2198214,5.498982,3.497943,0.1452941,0.1048875,0.12,0.1080849,-22.48571
"M",15,55,"prepared",27.63413,0.1493759,24.06443,27.23983,31.89443,7.830002,351.1813,474.6634,39.58171,25.0143,0.9595336,0.5694574,0.4174967,0.9414577,1.413259,0.9957626,13.61697,7.2085,14.45967,6.610269,0.5839823,0.6848078,21.68347,0.8930394,2.126312,6.195626,19.09033,0.7694214,-2.691897,-6.682414,0.05341047,1.537561,1.66575,0.9962322,4.327711,0.8534974,4.276654,1.956881,20.18502,0.4427783,502.8194,0.3935861,1165.962,0.217889,-69.77032,-1.214336,1519.906,0.1922593,828.6131,0.4290577,-75.27927,-1.038167,2533.759,0.1103953,682.9979,0.4417358,-77.05357,-1.000704,-12.24164,-0.7247056,18.99254,0.4915425,0.04067767,0.8492766,-0.01922113,-0.8917413,0.7251616,0.5258866,29.8615,0.4566135,0.9625292,14.30101,23.46804,0.6128339,-6.329936,-3.114517,-1.480878,9.238483,-0.004578201,0.004544146,0.2768139,4.92126,2.982107,0.224,0.2050301,0.1023077,0.1246629,-20.62075
"M",16,48,"prepared",25.93277,0.2001204,21.67067,25.62307,30.44009,8.769423,182.2258,250.6686,97.17906,86.57905,0.7861823,0.5762088,0.2993902,0.7900984,1.197322,0.8979315,11.96114,5.985902,11.94908,7.316984,0.6628149,0.5604828,18.86807,0.8994917,13.77809,0.8177949,17.24077,0.8487489,5.517925,2.203881,0.07114787,1.409477,1.840272,0.8702488,4.547335,0.8288847,10.25729,1.628164,25.86491,0.3313284,472.9031,0.4540084,1160.098,0.2077346,-109.5402,-0.8222087,1527.866,0.208668,827.8776,0.4981615,-113.4489,-0.7284135,2537.283,0.1224257,763.7803,0.4850908,-114.48,-0.7106627,-16.90977,-0.4601981,24.92332,0.3579147,-0.01912108,-1.697657,-0.01454388,-0.9263229,0.8143387,0.4391199,27.12472,0.4504626,16.88151,0.6715562,16.29825,1.132702,6.047294,2.235916,-13.50106,22.89565,-0.06304439,-0.005765253,0.5237874,6.438632,2.642276,0.1815385,0.1343272,0.1753846,0.2229044,-19.73392
