"speaker.gender","speaker","rater","gender","age","score"
"F",11,409,"M","A",6
"F",11,915,"F","Y",5
"F",11,51,"M","A",5
"F",11,910,"F","A",6
"F",11,36,"M","A",5
"F",11,904,"M","A",5
"F",11,943,"M","Y",5
"F",11,937,"F","Y",3
"F",11,208,"F","A",4
"F",11,404,"F","Y",5
"F",11,926,"F","Y",3
"F",11,901,"M","Y",6
"F",11,170,"F","A",5
"F",11,930,"M","Y",3
"F",11,908,"M","A",6
"F",11,198,"F","A",4
"F",11,432,"M","Y",6
"F",11,202,"F","Y",5
"F",11,279,"M","A",5
"F",11,381,"M","Y",5
"F",11,913,"M","Y",4
"F",11,922,"M","Y",7
"F",11,945,"M","A",5
"F",11,169,"F","A",3
"F",11,237,"F","A",6
"F",11,589,"M","A",7
"F",11,242,"M","Y",5
"F",11,405,"F","Y",4
"F",11,927,"F","Y",4
"F",11,281,"F","A",6
"F",11,485,"F","A",7
"F",11,580,"F","A",6
"F",11,596,"F","A",3
"F",11,918,"M","A",4
"F",11,911,"F","Y",7
"F",11,203,"F","A",6
"F",11,893,"F","Y",6
"F",11,938,"M","Y",3
"F",11,44,"M","A",6
"F",11,18,"F","A",6
"F",11,936,"M","A",6
"F",11,79,"F","A",4
"F",11,905,"M","A",4
"F",11,251,"M","A",7
"F",11,923,"F","Y",4
"F",11,382,"F","Y",7
"F",11,942,"M","Y",5
"F",11,892,"F","Y",4
"F",11,902,"F","A",5
"F",11,897,"F","A",3
"F",11,3,"F","A",5
"F",11,900,"M","Y",7
"F",11,899,"F","A",4
"F",11,909,"M","Y",5
"F",11,912,"M","A",6
"F",11,49,"M","Y",6
"F",11,62,"M","Y",6
"F",11,1,"M","A",7
"F",11,55,"F","A",6
"F",11,907,"M","Y",4
"F",11,50,"M","A",3
"F",11,906,"M","Y",5
"F",12,592,"F","A",2
"F",12,44,"M","A",4
"F",12,917,"F","A",2
"F",12,913,"M","Y",3
"F",12,930,"M","Y",2
"F",12,915,"F","Y",5
"F",12,937,"F","Y",4
"F",12,896,"F","A",4
"F",12,916,"M","Y",4
"F",12,895,"F","A",6
"F",12,3,"F","A",5
"F",12,198,"F","A",4
"F",12,580,"F","A",5
"F",12,922,"M","Y",6
"F",12,51,"M","A",4
"F",12,924,"M","Y",4
"F",12,1,"M","A",4
"F",12,901,"M","Y",5
"F",12,911,"F","Y",4
"F",12,24,"M","A",3
"F",12,940,"F","A",5
"F",12,905,"M","A",3
"F",12,589,"M","A",4
"F",12,935,"F","A",6
"F",12,936,"M","A",5
"F",12,943,"M","Y",3
"F",12,925,"F","Y",4
"F",12,382,"F","Y",6
"F",12,894,"M","Y",3
"F",12,169,"F","A",4
"F",12,938,"M","Y",4
"F",12,926,"F","Y",4
"F",12,170,"F","A",3
"F",12,242,"M","Y",4
"F",12,932,"F","Y",2
"F",12,897,"F","A",4
"F",12,409,"M","A",5
"F",12,910,"F","A",5
"F",12,485,"F","A",6
"F",12,36,"M","A",5
"F",12,279,"M","A",4
"F",12,588,"M","A",5
"F",12,914,"M","Y",5
"F",12,404,"F","Y",4
"F",12,923,"F","Y",3
"F",12,18,"F","A",5
"F",12,381,"M","Y",5
"F",12,281,"F","A",3
"F",12,904,"M","A",5
"F",12,31,"F","A",5
"F",12,578,"M","A",4
"F",12,596,"F","A",4
"F",12,202,"F","Y",4
"F",12,85,"F","Y",4
"F",12,893,"F","Y",5
"F",12,42,"M","A",3
"F",12,945,"M","A",4
"F",12,237,"F","A",6
"F",12,934,"F","A",5
"F",12,432,"M","Y",6
"F",12,908,"M","A",3
"F",12,902,"F","A",3
"F",12,892,"F","Y",3
"F",12,941,"M","A",6
"F",12,912,"M","A",5
"F",12,79,"F","A",5
"F",12,405,"F","Y",3
"F",12,49,"M","Y",2
"F",12,203,"F","A",3
"F",12,890,"F","A",2
"F",12,899,"F","A",3
"F",12,933,"F","Y",4
"F",12,251,"M","A",4
"F",12,907,"M","Y",3
"F",12,208,"F","A",4
"F",12,918,"M","A",4
"F",12,406,"F","Y",4
"F",12,900,"M","Y",3
"F",12,55,"F","A",5
"F",12,927,"F","Y",4
"F",12,906,"M","Y",3
"F",12,909,"M","Y",3
"F",12,942,"M","Y",2
"F",12,50,"M","A",6
"F",12,62,"M","Y",4
"F",13,24,"M","A",2
"F",13,895,"F","A",4
"F",13,589,"M","A",4
"F",13,915,"F","Y",3
"F",13,242,"M","Y",4
"F",13,896,"F","A",4
"F",13,917,"F","A",2
"F",13,916,"M","Y",3
"F",13,3,"F","A",3
"F",13,914,"M","Y",5
"F",13,588,"M","A",3
"F",13,924,"M","Y",4
"F",13,940,"F","A",5
"F",13,409,"M","A",5
"F",13,938,"M","Y",2
"F",13,890,"F","A",4
"F",13,936,"M","A",5
"F",13,404,"F","Y",3
"F",13,281,"F","A",1
"F",13,901,"M","Y",2
"F",13,894,"M","Y",3
"F",13,932,"F","Y",1
"F",13,937,"F","Y",2
"F",13,578,"M","A",2
"F",13,592,"F","A",1
"F",13,912,"M","A",3
"F",13,923,"F","Y",2
"F",13,237,"F","A",3
"F",13,42,"M","A",4
"F",13,1,"M","A",4
"F",13,904,"M","A",3
"F",13,905,"M","A",2
"F",13,18,"F","A",3
"F",13,170,"F","A",2
"F",13,580,"F","A",3
"F",13,85,"F","Y",3
"F",13,203,"F","A",3
"F",13,922,"M","Y",3
"F",13,913,"M","Y",3
"F",13,169,"F","A",4
"F",13,945,"M","A",3
"F",13,44,"M","A",2
"F",13,381,"M","Y",3
"F",13,897,"F","A",4
"F",13,31,"F","A",3
"F",13,198,"F","A",3
"F",13,432,"M","Y",2
"F",13,935,"F","A",2
"F",13,202,"F","Y",2
"F",13,382,"F","Y",3
"F",13,893,"F","Y",2
"F",13,892,"F","Y",4
"F",13,926,"F","Y",4
"F",13,930,"M","Y",1
"F",13,251,"M","A",2
"F",13,910,"F","A",4
"F",13,927,"F","Y",5
"F",13,36,"M","A",5
"F",13,911,"F","Y",3
"F",13,900,"M","Y",2
"F",13,485,"F","A",1
"F",13,208,"F","A",3
"F",13,908,"M","A",2
"F",13,405,"F","Y",2
"F",13,279,"M","A",4
"F",13,51,"M","A",3
"F",13,899,"F","A",2
"F",13,933,"F","Y",2
"F",13,902,"F","A",3
"F",13,943,"M","Y",3
"F",13,925,"F","Y",5
"F",13,55,"F","A",3
"F",13,942,"M","Y",1
"F",13,906,"M","Y",2
"F",13,907,"M","Y",3
"F",13,941,"M","A",3
"F",13,49,"M","Y",1
"F",13,596,"F","A",3
"F",13,918,"M","A",3
"F",13,934,"F","A",2
"F",13,50,"M","A",2
"F",13,79,"F","A",3
"F",13,406,"F","Y",2
"F",13,62,"M","Y",2
"F",14,914,"M","Y",5
"F",14,44,"M","A",4
"F",14,895,"F","A",5
"F",14,578,"M","A",5
"F",14,382,"F","Y",5
"F",14,18,"F","A",2
"F",14,1,"M","A",6
"F",14,24,"M","A",5
"F",14,896,"F","A",5
"F",14,169,"F","A",4
"F",14,937,"F","Y",6
"F",14,36,"M","A",5
"F",14,890,"F","A",4
"F",14,592,"F","A",5
"F",14,923,"F","Y",5
"F",14,922,"M","Y",7
"F",14,589,"M","A",7
"F",14,938,"M","Y",3
"F",14,901,"M","Y",5
"F",14,893,"F","Y",3
"F",14,917,"F","A",2
"F",14,940,"F","A",5
"F",14,897,"F","A",5
"F",14,49,"M","Y",2
"F",14,936,"M","A",4
"F",14,900,"M","Y",3
"F",14,588,"M","A",3
"F",14,913,"M","Y",4
"F",14,79,"F","A",3
"F",14,915,"F","Y",4
"F",14,170,"F","A",3
"F",14,924,"M","Y",4
"F",14,932,"F","Y",4
"F",14,242,"M","Y",4
"F",14,279,"M","A",4
"F",14,943,"M","Y",4
"F",14,381,"M","Y",5
"F",14,912,"M","A",4
"F",14,237,"F","A",4
"F",14,894,"M","Y",5
"F",14,945,"M","A",4
"F",14,926,"F","Y",2
"F",14,904,"M","A",3
"F",14,934,"F","A",5
"F",14,916,"M","Y",6
"F",14,902,"F","A",4
"F",14,911,"F","Y",5
"F",14,85,"F","Y",5
"F",14,203,"F","A",6
"F",14,580,"F","A",6
"F",14,906,"M","Y",3
"F",14,892,"F","Y",4
"F",14,55,"F","A",6
"F",14,208,"F","A",4
"F",14,930,"M","Y",4
"F",14,935,"F","A",3
"F",14,910,"F","A",4
"F",14,3,"F","A",4
"F",14,485,"F","A",5
"F",14,31,"F","A",6
"F",14,42,"M","A",6
"F",14,406,"F","Y",5
"F",14,942,"M","Y",6
"F",14,51,"M","A",5
"F",14,405,"F","Y",4
"F",14,905,"M","A",4
"F",14,899,"F","A",2
"F",14,202,"F","Y",4
"F",14,907,"M","Y",4
"F",14,62,"M","Y",5
"F",14,432,"M","Y",3
"F",14,198,"F","A",4
"F",14,927,"F","Y",4
"F",14,281,"F","A",5
"F",14,596,"F","A",3
"F",14,925,"F","Y",5
"F",14,909,"M","Y",2
"F",14,251,"M","A",6
"F",14,908,"M","A",5
"F",14,409,"M","A",6
"F",14,933,"F","Y",5
"F",14,941,"M","A",5
"F",14,404,"F","Y",3
"F",14,50,"M","A",3
"F",14,918,"M","A",5
"F",15,945,"M","A",2
"F",15,897,"F","A",1
"F",15,901,"M","Y",2
"F",15,170,"F","A",2
"F",15,914,"M","Y",6
"F",15,915,"F","Y",2
"F",15,936,"M","A",3
"F",15,203,"F","A",2
"F",15,169,"F","A",3
"F",15,3,"F","A",3
"F",15,409,"M","A",4
"F",15,242,"M","Y",5
"F",15,44,"M","A",5
"F",15,580,"F","A",3
"F",15,924,"M","Y",5
"F",15,896,"F","A",4
"F",15,899,"F","A",3
"F",15,588,"M","A",2
"F",15,578,"M","A",1
"F",15,926,"F","Y",3
"F",15,381,"M","Y",2
"F",15,279,"M","A",3
"F",15,406,"F","Y",3
"F",15,1,"M","A",4
"F",15,79,"F","A",2
"F",15,382,"F","Y",4
"F",15,940,"F","A",3
"F",15,938,"M","Y",3
"F",15,31,"F","A",3
"F",15,932,"F","Y",1
"F",15,42,"M","A",2
"F",15,890,"F","A",3
"F",15,913,"M","Y",2
"F",15,85,"F","Y",5
"F",15,237,"F","A",3
"F",15,432,"M","Y",1
"F",15,902,"F","A",3
"F",15,596,"F","A",4
"F",15,24,"M","A",3
"F",15,916,"M","Y",6
"F",15,905,"M","A",5
"F",15,927,"F","Y",3
"F",15,900,"M","Y",2
"F",15,485,"F","A",7
"F",15,50,"M","A",2
"F",15,942,"M","Y",1
"F",15,251,"M","A",3
"F",15,892,"F","Y",5
"F",15,935,"F","A",1
"F",15,894,"M","Y",2
"F",15,895,"F","A",5
"F",15,18,"F","A",2
"F",15,589,"M","A",6
"F",15,904,"M","A",2
"F",15,925,"F","Y",4
"F",15,912,"M","A",3
"F",15,911,"F","Y",4
"F",15,55,"F","A",3
"F",15,893,"F","Y",5
"F",15,941,"M","A",4
"F",15,918,"M","A",2
"F",15,198,"F","A",1
"F",15,208,"F","A",3
"F",15,937,"F","Y",2
"F",15,930,"M","Y",1
"F",15,51,"M","A",2
"F",15,917,"F","A",4
"F",15,910,"F","A",3
"F",15,36,"M","A",6
"F",15,933,"F","Y",2
"F",15,923,"F","Y",2
"F",15,943,"M","Y",2
"F",15,922,"M","Y",3
"F",15,49,"M","Y",2
"F",15,62,"M","Y",2
"F",15,907,"M","Y",5
"F",15,404,"F","Y",3
"F",15,909,"M","Y",3
"F",15,906,"M","Y",2
"F",15,281,"F","A",2
"F",15,405,"F","Y",4
"F",15,592,"F","A",4
"F",15,934,"F","A",3
"F",15,908,"M","A",1
"F",15,202,"F","Y",4
"F",16,896,"F","A",5
"F",16,916,"M","Y",6
"F",16,237,"F","A",3
"F",16,926,"F","Y",3
"F",16,927,"F","Y",4
"F",16,382,"F","Y",6
"F",16,18,"F","A",2
"F",16,42,"M","A",2
"F",16,914,"M","Y",5
"F",16,936,"M","A",4
"F",16,901,"M","Y",6
"F",16,897,"F","A",3
"F",16,406,"F","Y",2
"F",16,915,"F","Y",3
"F",16,198,"F","A",2
"F",16,208,"F","A",4
"F",16,589,"M","A",7
"F",16,242,"M","Y",5
"F",16,580,"F","A",2
"F",16,937,"F","Y",4
"F",16,911,"F","Y",3
"F",16,578,"M","A",2
"F",16,922,"M","Y",6
"F",16,932,"F","Y",1
"F",16,924,"M","Y",4
"F",16,935,"F","A",1
"F",16,24,"M","A",3
"F",16,913,"M","Y",2
"F",16,432,"M","Y",4
"F",16,930,"M","Y",2
"F",16,485,"F","A",7
"F",16,890,"F","A",6
"F",16,588,"M","A",2
"F",16,51,"M","A",3
"F",16,251,"M","A",5
"F",16,404,"F","Y",4
"F",16,938,"M","Y",3
"F",16,893,"F","Y",3
"F",16,945,"M","A",4
"F",16,925,"F","Y",6
"F",16,381,"M","Y",3
"F",16,79,"F","A",4
"F",16,912,"M","A",5
"F",16,49,"M","Y",2
"F",16,409,"M","A",3
"F",16,279,"M","A",4
"F",16,169,"F","A",3
"F",16,895,"F","A",4
"F",16,904,"M","A",1
"F",16,905,"M","A",4
"F",16,170,"F","A",2
"F",16,900,"M","Y",2
"F",16,907,"M","Y",6
"F",16,36,"M","A",6
"F",16,942,"M","Y",4
"F",16,918,"M","A",1
"F",16,923,"F","Y",3
"F",16,892,"F","Y",4
"F",16,50,"M","A",3
"F",16,902,"F","A",4
"F",16,899,"F","A",4
"F",16,85,"F","Y",6
"F",16,894,"M","Y",3
"F",16,44,"M","A",4
"F",16,943,"M","Y",2
"F",16,203,"F","A",1
